Block 311: CRC=62, LRC=122
Block 312: CRC=74, LRC=73
Block 313: CRC=55, LRC=382
Block 314: CRC=70, LRC=482
Block 315: CRC=112, LRC=355
Block 316: CRC=244, LRC=121
Block 317: CRC=386, LRC=62
Block 318: CRC=409, LRC=439
Block 319: CRC=21, LRC=478
Block 320: CRC=244, LRC=91
Block 321: CRC=357, LRC=385
Block 322: CRC=395, LRC=107
Block 323: CRC=327, LRC=370
Block 324: CRC=181, LRC=14
Block 325: CRC=499, LRC=62
Block 326: CRC=262, LRC=103
Block 327: CRC=233, LRC=416
Block 328: CRC=35, LRC=213
Block 329: CRC=117, LRC=443
Block 330: CRC=292, LRC=304
Block 331: CRC=162, LRC=463
Block 332: CRC=118, LRC=244
Block 333: CRC=465, LRC=316
Block 334: CRC=271, LRC=22
Block 335: CRC=471, LRC=361
Block 336: CRC=266, LRC=283
Block 337: CRC=25, LRC=410
Block 338: CRC=419, LRC=395
Block 339: CRC=280, LRC=431
Block 340: CRC=247, LRC=370
Block 341: CRC=241, LRC=471
Block 342: CRC=146, LRC=98
Block 343: CRC=223, LRC=431
Block 344: CRC=382, LRC=381
Block 345: CRC=241, LRC=433
Block 346: CRC=38, LRC=233
Block 347: CRC=443, LRC=44
Block 348: CRC=47, LRC=428
Block 349: CRC=254, LRC=7
Block 350: CRC=376, LRC=367
Block 351: CRC=118, LRC=84
Block 352: CRC=227, LRC=56
Block 353: CRC=475, LRC=367
Block 354: CRC=19, LRC=11
Block 355: CRC=133, LRC=2
Block 356: CRC=448, LRC=162
Block 357: CRC=199, LRC=439
Block 358: CRC=236, LRC=440
Block 359: CRC=88, LRC=388
Block 360: CRC=457, LRC=331
Block 361: CRC=453, LRC=118
Block 362: CRC=8, LRC=91
Block 363: CRC=342, LRC=361
Block 364: CRC=203, LRC=161
Block 365: CRC=227, LRC=376
Block 366: CRC=11, LRC=333
Block 367: CRC=44, LRC=50
Block 368: CRC=91, LRC=261
Block 369: CRC=59, LRC=179
Block 370: CRC=117, LRC=98
Block 371: CRC=364, LRC=87
Block 372: CRC=220, LRC=358
Block 373: CRC=511, LRC=416
Block 374: CRC=16, LRC=55
Block 375: CRC=26, LRC=188
Block 376: CRC=385, LRC=386
Block 377: CRC=471, LRC=327
Block 378: CRC=193, LRC=151
Block 379: CRC=110, LRC=409
Block 380: CRC=247, LRC=174
Block 381: CRC=259, LRC=355
Block 382: CRC=309, LRC=466
Block 383: CRC=336, LRC=214
Block 384: CRC=274, LRC=32
Block 385: CRC=477, LRC=73
Block 386: CRC=262, LRC=211
Block 387: CRC=506, LRC=421
Block 388: CRC=328, LRC=94
Block 389: CRC=448, LRC=499
Block 390: CRC=261, LRC=451
Block 391: CRC=64, LRC=8
Block 392: CRC=386, LRC=296
Block 393: CRC=505, LRC=425
Block 394: CRC=93, LRC=279
Block 395: CRC=370, LRC=196
Block 396: CRC=88, LRC=292
Block 397: CRC=230, LRC=367
Block 398: CRC=319, LRC=13
Block 399: CRC=385, LRC=375
Block 400: CRC=458, LRC=324
